Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2022-05-25 07:21:16,false,"Folsom Walking","0.91","139","00:15:55","134","159","102","172","17:26","8:30","46","200","0.90","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","15:55.22.9","1","0.0","00:12:41","00:15:55","364","421"
Walking,2022-05-22 12:47:22,false,"El Dorado County Walking","1.71","220","00:43:25","116","148","80","214","25:27","15:12","200","82","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","15:52.94.2","2","0.0","00:38:02","00:43:25","6,222","6,308"
Cycling,2022-05-22 11:04:04,false,"El Dorado County Cycling","4.32","443","00:54:25","144","172","0","0","4.8","21.1","492","1,063","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","54:24.74.9","1","0.0","00:38:10","01:02:29","6,221","6,949"
Walking,2022-05-21 14:32:45,false,"El Dorado County Walking","3.93","683","01:55:12","125","159","85","243","29:19","10:18","627","928","0.64","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","25:23.33.7","4","0.0","01:41:33","01:55:12","7,416","8,192"
Walking,2022-05-21 09:16:09,false,"El Dorado County Walking","4.41","864","02:16:49","130","162","73","243","31:03","6:18","1,086","449","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","12:41.67.7","5","0.0","01:52:59","02:16:49","7,243","8,030"
Running,2022-05-20 07:37:41,false,"Folsom Running","1.27","207","00:22:35","144","172","108","241","17:43","8:56","69","30","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:23.93.3","2","0.0","00:18:13","00:22:35","228","301"
Cardio,2022-05-17 13:06:20,false,"Cardio","0.00","257","00:29:39","137","170","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","29:39.00.4","1","0.0","00:00:00","00:29:39","163","163"
Cardio,2022-05-16 15:23:03,false,"Cardio","0.00","233","00:30:10","128","169","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","30:09.57.2","1","0.0","00:00:00","00:32:00","207","207"
Cardio,2022-05-13 16:24:25,false,"Cardio","0.00","274","00:35:03","130","176","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","35:02.80.3","1","0.0","00:00:00","00:35:03","130","167"
Cardio,2022-05-11 11:58:48,false,"Cardio","0.00","200","00:21:16","142","166","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","21:16.23.9","1","0.0","00:00:00","00:21:16","35","79"
Cardio,2022-05-10 11:59:49,false,"Cardio","0.00","206","00:25:43","131","164","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","25:42.98.3","1","0.0","00:00:00","00:25:43","75","85"
Cardio,2022-05-09 12:20:21,false,"Cardio","0.00","284","00:29:40","145","173","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","29:39.91.3","1","0.0","00:00:00","00:29:40","127","127"
Walking,2022-05-09 10:36:50,false,"Folsom Walking","1.01","169","00:19:03","136","160","111","199","18:57","8:51","121","23","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:06.24.5","2","0.0","00:14:25","00:19:03","106","145"
Cycling,2022-05-07 14:34:04,false,"South Lake Tahoe Cycling","2.15","124","00:15:17","127","149","0","0","8.4","13.8","62","125","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","15:17.40.6","1","0.0","00:14:53","00:15:17","6,226","6,276"
